starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	0
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:42 2022	1654606602	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	1	1
Tue Jun 07 19:56:41 2022	1654606601	1	1	1	1
Tue Jun 07 19:56:42 2022	1654606602	0	1	2	1
Tue Jun 07 19:56:41 2022	1654606601	1	1	2	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	2	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	2	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	2	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	2	1
Tue Jun 07 19:56:41 2022	1654606601	1	1	2	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	2	1
Tue Jun 07 19:56:41 2022	1654606601	0	1	2	1
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	1
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	1
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	1
Tue Jun 07 19:56:42 2022	1654606602	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	1	1	2	1
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	1	1	2	1
Tue Jun 07 19:56:41 2022	1654606601	1	1	2	1
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:42 2022	1654606602	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:42 2022	1654606602	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	1
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	2	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	3	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	3	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	3	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	3	2
Tue Jun 07 19:56:41 2022	1654606601	1	1	3	1
Tue Jun 07 19:56:41 2022	1654606601	1	2	3	2
Tue Jun 07 19:56:41 2022	1654606601	0	2	3	1
Tue Jun 07 19:56:41 2022	1654606601	0	2	3	2
Tue Jun 07 19:56:41 2022	1654606601	0	3	3	2
Tue Jun 07 19:56:41 2022	1654606601	0	3	3	3
Tue Jun 07 19:56:41 2022	1654606601	0	3	3	3
Tue Jun 07 19:56:41 2022	1654606601	2	1	3	1
Tue Jun 07 19:56:41 2022	1654606601	0	3	3	3
Tue Jun 07 19:56:41 2022	1654606601	1	2	3	2
Tue Jun 07 19:56:41 2022	1654606601	0	3	3	3
Tue Jun 07 19:56:41 2022	1654606601	0	3	3	3
Tue Jun 07 19:56:41 2022	1654606601	0	3	3	3
Tue Jun 07 19:56:41 2022	1654606601	0	3	3	3
Tue Jun 07 19:56:41 2022	1654606601	0	3	3	3
Tue Jun 07 19:56:41 2022	1654606601	0	3	3	3
Tue Jun 07 19:56:41 2022	1654606601	0	3	3	3
Tue Jun 07 19:56:41 2022	1654606601	0	3	4	3
Tue Jun 07 19:56:41 2022	1654606601	0	3	4	3
Tue Jun 07 19:56:41 2022	1654606601	0	4	4	4
Tue Jun 07 19:56:41 2022	1654606601	0	4	4	3
Tue Jun 07 19:56:41 2022	1654606601	0	3	4	3
Tue Jun 07 19:56:41 2022	1654606601	1	3	4	3
Tue Jun 07 19:56:41 2022	1654606601	1	3	4	3
Tue Jun 07 19:56:42 2022	1654606602	1	2	4	2
Tue Jun 07 19:56:42 2022	1654606602	0	3	4	3
Tue Jun 07 19:56:41 2022	1654606601	0	4	4	4
Tue Jun 07 19:56:41 2022	1654606601	0	4	4	4
Tue Jun 07 19:56:41 2022	1654606601	0	4	4	4
Tue Jun 07 19:56:41 2022	1654606601	0	4	4	3
Tue Jun 07 19:56:41 2022	1654606601	0	4	4	4
Tue Jun 07 19:56:42 2022	1654606602	0	4	4	4
Tue Jun 07 19:56:41 2022	1654606601	1	4	4	4
Tue Jun 07 19:56:41 2022	1654606601	0	4	4	4
Tue Jun 07 19:56:41 2022	1654606601	0	4	4	4
Tue Jun 07 19:56:41 2022	1654606601	0	4	4	4
Tue Jun 07 19:56:41 2022	1654606601	0	4	4	4
Tue Jun 07 19:56:41 2022	1654606601	0	4	4	4
Tue Jun 07 19:56:41 2022	1654606601	0	4	5	4
Tue Jun 07 19:56:41 2022	1654606601	0	4	5	4
Tue Jun 07 19:56:41 2022	1654606601	0	4	5	4
Tue Jun 07 19:56:41 2022	1654606601	0	4	5	4
Tue Jun 07 19:56:41 2022	1654606601	0	4	5	4
Tue Jun 07 19:56:41 2022	1654606601	1	4	5	4
Tue Jun 07 19:56:41 2022	1654606601	0	5	5	4
Tue Jun 07 19:56:42 2022	1654606602	0	5	5	4
Tue Jun 07 19:56:41 2022	1654606601	1	4	5	3
Tue Jun 07 19:56:41 2022	1654606601	0	5	5	5
Tue Jun 07 19:56:42 2022	1654606602	0	5	5	4
Tue Jun 07 19:56:41 2022	1654606601	1	5	5	4
Tue Jun 07 19:56:41 2022	1654606601	0	5	5	5
Tue Jun 07 19:56:42 2022	1654606602	0	5	5	5
Tue Jun 07 19:56:41 2022	1654606601	0	5	5	5
Tue Jun 07 19:56:41 2022	1654606601	0	5	5	5
Tue Jun 07 19:56:41 2022	1654606601	0	5	5	1
Tue Jun 07 19:56:41 2022	1654606601	0	5	6	5
Tue Jun 07 19:56:41 2022	1654606601	0	5	6	5
Tue Jun 07 19:56:41 2022	1654606601	0	5	6	5
Tue Jun 07 19:56:41 2022	1654606601	0	5	6	5
Tue Jun 07 19:56:41 2022	1654606601	0	6	6	5
Tue Jun 07 19:56:41 2022	1654606601	0	5	6	5
Tue Jun 07 19:56:42 2022	1654606602	0	6	6	6
Tue Jun 07 19:56:41 2022	1654606601	0	6	6	5
Tue Jun 07 19:56:41 2022	1654606601	0	5	6	5
Tue Jun 07 19:56:41 2022	1654606601	1	5	6	5
Tue Jun 07 19:56:41 2022	1654606601	0	6	6	6
Tue Jun 07 19:56:41 2022	1654606601	0	6	6	6
Tue Jun 07 19:56:41 2022	1654606601	0	6	6	6
Tue Jun 07 19:56:41 2022	1654606601	0	6	6	6
Tue Jun 07 19:56:41 2022	1654606601	1	5	6	5
Tue Jun 07 19:56:41 2022	1654606601	1	5	6	5
Tue Jun 07 19:56:41 2022	1654606601	0	6	6	6
Tue Jun 07 19:56:41 2022	1654606601	0	6	6	6
Tue Jun 07 19:56:41 2022	1654606601	0	6	6	6
Tue Jun 07 19:56:41 2022	1654606601	1	5	6	5
Tue Jun 07 19:56:41 2022	1654606601	0	6	6	6
Tue Jun 07 19:56:41 2022	1654606601	1	5	6	5
Tue Jun 07 19:56:41 2022	1654606601	0	6	6	6
Tue Jun 07 19:56:41 2022	1654606601	0	6	6	6
Tue Jun 07 19:56:41 2022	1654606601	2	5	7	3
Tue Jun 07 19:56:42 2022	1654606602	0	6	7	6
Tue Jun 07 19:56:41 2022	1654606601	0	6	7	6
Tue Jun 07 19:56:41 2022	1654606601	0	6	7	6
Tue Jun 07 19:56:41 2022	1654606601	0	6	7	6
Tue Jun 07 19:56:41 2022	1654606601	0	7	7	7
Tue Jun 07 19:56:42 2022	1654606602	0	6	7	6
Tue Jun 07 19:56:42 2022	1654606602	0	7	7	6
Tue Jun 07 19:56:41 2022	1654606601	0	7	7	7
Tue Jun 07 19:56:41 2022	1654606601	0	7	7	7
Tue Jun 07 19:56:41 2022	1654606601	0	7	7	7
Tue Jun 07 19:56:41 2022	1654606601	0	7	7	7
Tue Jun 07 19:56:41 2022	1654606601	0	7	7	7
Tue Jun 07 19:56:41 2022	1654606601	0	7	8	7
Tue Jun 07 19:56:41 2022	1654606601	0	7	8	7
Tue Jun 07 19:56:41 2022	1654606601	0	8	8	7
Tue Jun 07 19:56:41 2022	1654606601	0	7	8	7
Tue Jun 07 19:56:41 2022	1654606601	0	8	8	8
Tue Jun 07 19:56:41 2022	1654606601	0	8	8	8
Tue Jun 07 19:56:41 2022	1654606601	0	8	8	8
Tue Jun 07 19:56:41 2022	1654606601	3	6	8	5
